account,sales_agent,product,lead_score
Zumgoity,22,GTX Basic,
Plexzap,22,GTX Plus Pro,
Treequote,0,MG Special,
Condax,0,MG Special,100.0
dambase,0,MG Advanced,
Vehement Capital Partners,1,MG Advanced,
Cancity,12,GTXPro,
Xx-zobam,12,GTXPro,
Zencorporation,12,GTXPro,
Green-Plus,24,GTX Basic,
Inity,28,MG Special,
Globex Corporation,2,GTX Plus Pro,
Fasehatice,3,GTX Plus Basic,
Doncon,3,MG Advanced,
Faxquote,4,GTX Basic,98.0
Plusstrip,6,MG Special,
Sunnamplex,6,GTXPro,100.0
unknow,7,GTX Plus Pro,
unknow,7,MG Special,
Hottechi,7,MG Advanced,
Konex,7,GTX Basic,
Goodsilron,7,MG Special,
Fasehatice,9,MG Special,
Green-Plus,11,GTX Plus Basic,
Condax,11,GTX Plus Pro,
Plexzap,11,GTX Plus Pro,
Massive Dynamic,15,MG Special,
J-Texon,16,GTX Basic,
Dalttechnology,16,MG Advanced,
Hottechi,16,GTX Basic,
Finjob,16,MG Advanced,
Inity,18,GTX Basic,
Scottech,18,MG Special,
unknow,19,GTXPro,0.0
Xx-holding,19,MG Advanced,
Y-corporation,19,MG Special,
Sunnamplex,19,MG Advanced,
unknow,20,MG Advanced,
Dalttechnology,22,GTX Basic,
Hottechi,0,GTX Basic,
Umbrella Corporation,1,GTX Plus Basic,0.0
unknow,12,MG Special,
Zotware,24,GTX Plus Basic,
Scotfind,25,GTXPro,23.0
Massive Dynamic,25,GTXPro,
Bioholding,26,GTX Plus Pro,
Betatech,26,GTXPro,
Genco Pura Olive Oil Company,26,MG Advanced,
Initech,27,GTX Basic,
Plexzap,28,GTX Basic,
Condax,2,GTX Plus Basic,
unknow,3,MG Advanced,
Dontechi,5,GTX Basic,
Warephase,5,GTX Plus Basic,
Hatfan,6,GTX Plus Basic,97.0
Iselectrics,7,GTX Basic,
Singletechno,7,GTX Plus Basic,
Zumgoity,8,MG Advanced,0.0
J-Texon,9,MG Advanced,
Rundofase,10,MG Advanced,
Bioholding,13,MG Advanced,
Hottechi,14,GTX Basic,
The New York Inquirer,15,GTX Plus Pro,
Ontomedia,15,MG Advanced,
Blackzim,16,MG Special,99.0
Sunnamplex,17,MG Advanced,
Mathtouch,17,GTXPro,
Genco Pura Olive Oil Company,18,MG Advanced,
Stanredtax,18,MG Special,100.0
Kinnamplus,19,GTXPro,
Y-corporation,19,GTXPro,2.0
Zotware,21,GTX Plus Pro,
Hottechi,22,GTX Plus Basic,
Hatfan,22,GTXPro,
Streethex,0,GTX Basic,
unknow,1,MG Advanced,
Iselectrics,1,GTX Plus Basic,
Domzoom,23,MG Advanced,
Xx-zobam,24,GTX Plus Pro,
Bioholding,26,MG Advanced,
Fasehatice,28,GTX Plus Basic,100.0
Plussunin,29,GTXPro,
Conecom,2,GTX Plus Basic,
Codehow,2,GTX Basic,
unknow,4,GTX Plus Pro,0.0
Konex,4,GTX Basic,
Fasehatice,4,GTXPro,
unknow,6,GTXPro,0.0
Fasehatice,6,GTX Plus Basic,
Labdrill,7,GTX Basic,
Cheers,7,GTX Basic,
Rantouch,7,GTX Basic,
unknow,9,GTXPro,
Xx-holding,9,GTX Plus Pro,
Funholding,10,GTX Plus Basic,
Faxquote,11,GTX Plus Basic,
Goodsilron,11,GTX Plus Basic,100.0
Donware,15,GTX Basic,
Donware,15,GTX Basic,100.0
Bluth Company,17,MG Advanced,
Kinnamplus,17,GTXPro,
Konmatfix,18,MG Special,
Hottechi,22,GTX Plus Basic,
Sunnamplex,22,GTXPro,
Rangreen,0,GTX Basic,
unknow,12,GTX Plus Basic,
unknow,12,GTX Plus Pro,
Bubba Gump,12,GTX Plus Basic,
Betasoloin,24,MG Advanced,
Rangreen,26,MG Special,
Globex Corporation,26,MG Advanced,
Silis,27,MG Special,
Bioplex,27,GTX Plus Basic,
Iselectrics,27,GTX Plus Pro,
unknow,28,GTXPro,
Nam-zim,28,MG Special,
Hottechi,2,MG Special,
Betatech,2,GTX Basic,
Isdom,2,GTXPro,
unknow,3,GTX Plus Basic,0.0
Goodsilron,4,GTX Basic,
Faxquote,6,GTXPro,
J-Texon,6,GTX Basic,
Ron-tech,8,GTX Basic,
Green-Plus,9,GTX Basic,
Iselectrics,9,GTX Basic,8.333333333333334
Gekko & Co,15,GTXPro,
Yearin,15,GTXPro,
Kinnamplus,17,GTXPro,
Conecom,18,MG Special,
unknow,19,MG Special,
Cheers,19,MG Advanced,
J-Texon,19,GTX Basic,
unknow,21,MG Special,
Bluth Company,21,MG Special,
Domzoom,0,GTX Basic,
Domzoom,0,MG Special,
Donquadtech,1,MG Advanced,
unknow,24,GTX Plus Pro,
Ganjaflex,24,GTX Basic,
Kan-code,24,GTX Plus Basic,
Vehement Capital Partners,24,GTX Basic,
Plussunin,24,GTXPro,
dambase,26,GTXPro,
Konmatfix,26,GTXPro,
Statholdings,26,MG Special,0.0
Finhigh,26,MG Advanced,
Gekko & Co,27,GTXPro,
Zencorporation,27,GTXPro,
unknow,28,MG Special,0.0
Green-Plus,28,MG Special,0.0
Ontomedia,29,GTX Plus Pro,
Golddex,3,GTX Plus Basic,
Labdrill,4,GTX Plus Pro,
Singletechno,4,GTXPro,
Finhigh,5,GTX Plus Pro,
Konmatfix,5,GTXPro,100.0
Streethex,5,GTXPro,
Labdrill,6,GTXPro,
Scotfind,6,GTXPro,
Blackzim,7,GTX Plus Pro,0.0
Treequote,8,GTX Basic,
Isdom,8,MG Advanced,
Funholding,8,MG Special,
unknow,9,GTX Plus Basic,
Goodsilron,9,GTX Basic,
Scotfind,9,MG Special,
Cheers,9,MG Advanced,
Gogozoom,10,MG Advanced,
unknow,11,GTX Plus Pro,
Rantouch,11,GTX Plus Basic,
Betatech,14,GTX Plus Basic,
Donquadtech,15,GTX Basic,2.0
Initech,15,GTX Basic,2.0
Isdom,18,MG Special,
Plexzap,22,GTX Basic,
Conecom,0,GTX Plus Basic,1.0
Betatech,0,MG Special,100.0
Yearin,12,GTXPro,
Treequote,23,GTX Plus Pro,
Silis,24,GTX Basic,
Bubba Gump,24,GTX Plus Basic,
Treequote,26,GTXPro,
Zencorporation,27,GTX Basic,
Silis,27,GTXPro,
Plussunin,27,MG Special,
Hottechi,2,MG Advanced,1.0
Kan-code,4,GTX Basic,
Singletechno,4,GTXPro,
dambase,5,GTX Basic,1.0
Rangreen,5,GTX Basic,
Doncon,7,GTXPro,
Green-Plus,7,GTX Basic,
Blackzim,7,GTX Plus Pro,99.0
Ron-tech,8,GTX Plus Basic,100.0
unknow,9,MG Special,
Faxquote,9,GTX Plus Basic,
J-Texon,9,MG Advanced,
Silis,15,GTX Basic,
Xx-zobam,15,GTX Plus Basic,
Bioplex,15,GTX Plus Pro,100.0
Condax,15,MG Special,
Green-Plus,16,MG Special,
Zoomit,19,GTX Basic,
Gekko & Co,20,MG Special,100.0
unknow,22,GTX Basic,
Dontechi,0,GTX Basic,95.0
Kinnamplus,12,GTX Basic,0.0
Xx-zobam,12,GTX Plus Basic,
unknow,25,MG Advanced,
Domzoom,26,MG Advanced,
Rundofase,26,MG Special,88.0
Plussunin,27,MG Advanced,
unknow,28,GTK 500,
unknow,28,MG Special,
Bioholding,2,MG Special,
Rundofase,2,MG Advanced,
unknow,3,MG Advanced,
Finjob,4,GTX Basic,
unknow,6,GTX Plus Basic,0.0
Hatfan,7,GTX Basic,
Faxquote,7,GTX Plus Basic,
Plexzap,7,GTX Plus Pro,
Cheers,7,GTXPro,
Streethex,8,GTX Basic,
Gogozoom,8,MG Special,
Warephase,13,GTX Basic,98.0
Finhigh,13,GTX Plus Basic,
Funholding,13,MG Advanced,92.0
Isdom,14,GTX Basic,
Condax,19,MG Advanced,
Scotfind,19,GTX Basic,
Dalttechnology,22,GTXPro,
Warephase,0,GTX Basic,
unknow,1,GTXPro,
Zotware,1,MG Special,84.0
Ontomedia,12,GTXPro,
unknow,24,MG Advanced,
Konex,24,GTX Plus Pro,
Kan-code,25,MG Advanced,0.0
Gogozoom,26,GTXPro,
Opentech,27,MG Advanced,
Vehement Capital Partners,27,MG Advanced,
Mathtouch,27,GTXPro,
Dalttechnology,28,MG Special,
Zathunicon,29,GTX Basic,0.0
Toughzap,2,MG Advanced,
Sonron,4,GTX Plus Basic,
Warephase,5,GTX Plus Basic,
Zumgoity,5,GTX Plus Basic,
Streethex,5,GTXPro,
Golddex,6,GTX Basic,0.0
Konex,6,GTX Plus Basic,
unknow,7,GTX Basic,0.0
unknow,7,MG Advanced,
Codehow,8,GTX Basic,
Condax,9,GTX Basic,
Goodsilron,9,GTXPro,
Rantouch,11,GTX Plus Basic,
Genco Pura Olive Oil Company,13,GTX Plus Pro,
Cancity,14,GTX Basic,
Codehow,18,GTX Plus Pro,
Treequote,18,GTX Plus Pro,
Konmatfix,18,MG Special,
Rangreen,18,MG Advanced,
unknow,19,GTX Basic,
Konex,19,MG Advanced,
Finjob,22,MG Advanced,
dambase,0,MG Advanced,
Stanredtax,0,GTX Plus Basic,
unknow,12,GTXPro,0.0
Zathunicon,24,GTX Basic,
Y-corporation,25,GTX Plus Pro,3.0
Finhigh,26,GTXPro,
Domzoom,26,MG Special,
Funholding,26,GTXPro,
Bioplex,27,GTXPro,
Sumace,27,GTX Basic,96.0
Umbrella Corporation,29,GTX Basic,
Singletechno,3,GTX Plus Basic,
Scotfind,3,GTX Plus Pro,
Newex,3,MG Advanced,
Sunnamplex,6,GTX Basic,
Statholdings,8,MG Advanced,100.0
unknow,9,MG Advanced,
Xx-holding,11,GTXPro,100.0
Genco Pura Olive Oil Company,13,MG Special,
Zotware,15,GTX Plus Basic,99.0
Xx-zobam,17,GTXPro,
Codehow,18,MG Special,0.0
unknow,19,GTXPro,
Labdrill,19,GTX Basic,
Konex,19,GTX Plus Pro,
Faxquote,22,GTX Basic,
Plexzap,22,MG Special,
Xx-holding,22,GTX Plus Pro,99.0
Betatech,0,MG Advanced,
Zathunicon,1,GTX Basic,
Konex,12,GTX Basic,
Initech,12,MG Advanced,
Funholding,23,GTX Basic,
Isdom,23,GTX Basic,
Zumgoity,23,MG Special,
unknow,24,MG Advanced,
Betasoloin,25,GTXPro,
Ron-tech,26,GTXPro,
Dalttechnology,28,MG Special,
Inity,2,MG Advanced,99.0
Hottechi,3,GTX Plus Basic,99.0
Cheers,6,GTX Plus Basic,
Singletechno,7,GTX Plus Basic,
Blackzim,7,MG Advanced,
Condax,7,GTX Plus Basic,
Inity,10,GTX Plus Basic,100.0
Condax,13,GTX Plus Pro,0.0
Konmatfix,14,GTX Plus Basic,
Betasoloin,15,GTX Basic,
Ganjaflex,17,GTX Plus Pro,
Finhigh,18,GTX Plus Basic,
Rantouch,19,MG Special,
unknow,20,MG Special,
Zencorporation,22,GTX Plus Basic,
Scotfind,22,GTX Basic,0.0
J-Texon,22,MG Advanced,
Finhigh,0,MG Special,
Initech,1,GTX Basic,0.0
Mathtouch,12,GTX Plus Basic,
Rangreen,23,MG Special,
Isdom,23,MG Advanced,100.0
Acme Corporation,25,GTX Plus Pro,
Ganjaflex,25,GTXPro,
Xx-zobam,25,GTXPro,
Hottechi,26,GTX Basic,
Codehow,26,GTXPro,
Gogozoom,26,GTX Plus Pro,99.0
Condax,26,GTXPro,99.0
Globex Corporation,26,GTXPro,
Stanredtax,26,GTXPro,100.0
Warephase,2,GTX Basic,4.0
unknow,3,MG Advanced,
Cheers,4,MG Advanced,
Conecom,5,GTX Plus Basic,
Kan-code,6,GTX Basic,
Cheers,6,GTX Plus Basic,
Hottechi,7,GTX Basic,
Green-Plus,7,GTX Plus Basic,
Dontechi,8,MG Special,
Codehow,8,GTX Plus Basic,
Gogozoom,8,MG Special,
Funholding,9,MG Advanced,
Condax,10,GTX Basic,0.0
Rangreen,10,GTXPro,
Hottechi,11,GTX Plus Basic,
Plussunin,15,GTXPro,0.0
The New York Inquirer,15,GTXPro,
Rundofase,18,MG Special,
J-Texon,19,MG Special,
unknow,22,MG Advanced,
Goodsilron,22,GTX Basic,
Gekko & Co,1,GTX Plus Basic,
Betatech,23,MG Special,
Ontomedia,25,MG Special,
Inity,26,GTXPro,
Inity,26,GTXPro,
Condax,26,GTXPro,99.0
Plussunin,27,GTX Plus Basic,1.0
Faxquote,28,GTX Basic,7.000000000000001
Xx-holding,28,GTX Plus Basic,
Rundofase,2,GTX Basic,
Rantouch,4,GTX Plus Pro,
Konex,6,GTX Basic,
unknow,7,GTX Plus Basic,
Groovestreet,7,GTX Basic,2.0
Singletechno,7,GTX Basic,
Doncon,7,GTX Basic,99.0
Rantouch,7,GTXPro,
dambase,13,MG Advanced,
Rundofase,13,MG Special,
dambase,14,MG Advanced,1.0
Gogozoom,14,GTX Basic,
Gogozoom,14,MG Special,100.0
Hatfan,16,GTXPro,98.0
Cancity,18,GTX Basic,
Funholding,18,MG Advanced,2.0
Fasehatice,19,GTXPro,
unknow,20,MG Special,
Opentech,20,MG Special,
Massive Dynamic,20,MG Special,
Rundofase,0,GTX Basic,
Genco Pura Olive Oil Company,1,GTX Plus Basic,
Konex,1,MG Advanced,
Betasoloin,12,GTX Plus Pro,
Zathunicon,12,GTX Basic,
Gekko & Co,12,GTX Plus Basic,
dambase,23,MG Advanced,
Rangreen,24,GTX Plus Pro,9.0
Streethex,26,GTX Plus Basic,
Gogozoom,26,MG Advanced,
Yearin,27,GTXPro,
Goodsilron,3,MG Special,5.0
Cancity,5,GTXPro,
Dontechi,5,GTX Basic,
Rangreen,5,GTX Basic,
Y-corporation,6,GTX Basic,
Finjob,6,GTXPro,
Goodsilron,6,MG Special,
Konex,6,MG Advanced,
unknow,7,GTXPro,
Doncon,7,GTXPro,
Groovestreet,7,MG Special,
Golddex,9,MG Special,4.0
Codehow,10,GTX Plus Basic,
Hottechi,10,GTX Plus Pro,
Conecom,13,GTX Plus Pro,
Kan-code,15,GTX Plus Pro,
Dontechi,16,MG Special,
Statholdings,18,MG Special,1.0
unknow,19,MG Special,
Lexiqvolax,19,MG Advanced,
Green-Plus,19,GTX Plus Pro,
Hottechi,19,GTX Basic,
J-Texon,19,MG Special,
Bioplex,20,MG Advanced,
Hatfan,22,GTXPro,
Bioholding,0,GTX Plus Basic,
Inity,0,MG Special,
Ontomedia,1,GTX Plus Basic,
Donquadtech,24,GTX Basic,
Silis,24,GTXPro,
Plussunin,25,GTX Basic,
Kan-code,25,GTXPro,
Betatech,26,GTX Basic,
Globex Corporation,26,GTXPro,
Domzoom,26,GTX Plus Basic,
Dontechi,26,GTX Plus Basic,
Scottech,26,GTX Plus Basic,100.0
Streethex,26,GTX Plus Pro,
Condax,2,GTX Plus Pro,
Ron-tech,2,MG Special,
Dalttechnology,3,MG Advanced,
Hatfan,3,MG Special,
Golddex,4,GTX Plus Basic,
unknow,6,GTXPro,
Rantouch,6,GTX Basic,
Hottechi,6,GTX Basic,
Hatfan,7,GTXPro,
Y-corporation,7,GTXPro,
Warephase,13,MG Special,
Scottech,14,GTX Plus Basic,
Finhigh,18,MG Special,
Bioholding,18,MG Special,100.0
Kan-code,19,GTX Plus Pro,1.0
Blackzim,19,MG Advanced,
Sumace,20,GTX Plus Basic,97.0
Silis,21,GTXPro,
unknow,22,GTX Basic,
unknow,22,MG Advanced,
Zencorporation,12,GTX Plus Pro,
Bluth Company,12,GTXPro,
Umbrella Corporation,12,MG Advanced,
Massive Dynamic,24,GTX Plus Basic,
The New York Inquirer,25,MG Advanced,0.0
Gogozoom,26,GTX Plus Basic,
Treequote,26,GTXPro,
Cancity,26,GTXPro,
Warephase,26,GTXPro,
Finhigh,26,MG Special,97.0
J-Texon,28,GTX Basic,
Zoomit,28,MG Advanced,
Globex Corporation,2,GTX Basic,2.0
Stanredtax,2,MG Special,
Hottechi,3,MG Advanced,
Scotfind,3,MG Advanced,
Faxquote,4,GTX Basic,
Zumgoity,5,GTX Basic,99.0
Treequote,5,MG Special,
unknow,6,GTXPro,
J-Texon,6,GTX Basic,
Sunnamplex,6,GTXPro,
unknow,9,GTX Basic,
unknow,9,MG Special,
Hottechi,11,GTX Plus Pro,
Blackzim,11,MG Advanced,0.0
Silis,17,GTXPro,
Hottechi,19,MG Special,
Statholdings,0,GTX Plus Basic,
Statholdings,0,MG Special,
Statholdings,0,GTX Plus Pro,
Iselectrics,1,GTX Plus Pro,
Hottechi,23,GTX Plus Basic,
Ganjaflex,27,MG Special,
Donquadtech,29,MG Special,
Betatech,2,MG Advanced,
Gogozoom,2,MG Advanced,
Lexiqvolax,3,GTX Plus Basic,
unknow,6,GTX Plus Basic,
Fasehatice,6,GTX Basic,
unknow,7,GTX Basic,
Sunnamplex,7,GTX Basic,0.0
Codehow,13,MG Advanced,
Finhigh,18,MG Advanced,
Plusstrip,20,MG Special,15.0
Condax,20,GTX Basic,
Condax,22,GTX Basic,98.0
Konex,22,GTX Plus Pro,
dambase,0,GTX Basic,
Finhigh,0,GTX Basic,
Zencorporation,12,GTXPro,
Warephase,23,MG Advanced,2.0
Bubba Gump,25,GTX Plus Basic,
Donquadtech,25,GTXPro,
Codehow,26,GTXPro,
Acme Corporation,27,MG Advanced,
Sumace,29,GTX Plus Pro,
Mathtouch,29,GTXPro,
Konex,29,GTXPro,
Domzoom,2,GTX Plus Basic,
Blackzim,3,MG Advanced,0.0
Scottech,5,GTX Basic,100.0
Domzoom,5,MG Special,
unknow,7,GTXPro,0.0
Newex,7,MG Advanced,
Newex,11,GTX Basic,
Groovestreet,11,GTX Plus Basic,
Ron-tech,13,GTX Basic,
Isdom,18,MG Special,
unknow,19,GTXPro,
Plusstrip,19,MG Special,
Zathunicon,20,MG Special,
Doncon,22,MG Special,
Warephase,0,MG Special,
Codehow,0,MG Advanced,
Plussunin,1,GTX Basic,
Zotware,1,MG Advanced,98.0
Conecom,23,MG Special,
Ontomedia,24,GTX Basic,2.0
Zencorporation,24,GTX Basic,
Iselectrics,24,GTXPro,
Plussunin,25,GTX Plus Basic,
Mathtouch,25,GTX Plus Pro,
Vehement Capital Partners,25,MG Advanced,100.0
Conecom,26,GTXPro,
Warephase,26,GTX Plus Basic,
Domzoom,26,GTXPro,
unknow,28,MG Special,
Green-Plus,28,MG Advanced,1.0
Genco Pura Olive Oil Company,2,GTXPro,
Faxquote,3,GTX Plus Basic,
Blackzim,3,MG Advanced,
unknow,4,GTX Basic,
Golddex,4,MG Advanced,
Goodsilron,4,GTXPro,
Faxquote,6,GTX Basic,
unknow,7,GTX Plus Pro,
unknow,7,GTXPro,0.0
Y-corporation,7,GTX Plus Pro,
Y-corporation,7,GTX Plus Pro,
Scotfind,7,GTXPro,1.0
Fasehatice,7,GTX Plus Pro,
Conecom,8,GTX Plus Basic,
Isdom,8,GTX Plus Pro,
Konmatfix,8,MG Special,91.0
Blackzim,9,GTX Basic,
Plexzap,9,GTX Basic,
dambase,10,GTX Plus Basic,
Inity,14,GTX Basic,
Umbrella Corporation,15,GTX Basic,
unknow,16,GTX Basic,
unknow,16,GTXPro,
Lexiqvolax,16,MG Special,
Isdom,18,MG Special,100.0
Ganjaflex,20,MG Special,
Konex,20,MG Special,
The New York Inquirer,21,MG Advanced,
Y-corporation,22,GTXPro,
Betatech,0,MG Special,1.0
Betatech,0,MG Special,
Condax,0,MG Special,100.0
Conecom,0,MG Special,
Kan-code,1,GTXPro,
Gekko & Co,12,MG Advanced,
Yearin,24,GTX Plus Pro,
Konex,24,MG Advanced,
Xx-zobam,27,GTX Basic,
Xx-zobam,28,GTK 500,9.0
Condax,29,MG Advanced,4.0
Isdom,2,GTXPro,
Goodsilron,3,GTX Plus Pro,
unknow,4,MG Advanced,
Golddex,4,GTX Plus Basic,
Kan-code,4,MG Special,
Xx-holding,6,GTX Plus Pro,
Doncon,6,GTX Basic,
Opentech,7,GTX Plus Pro,2.0
Newex,7,GTX Basic,
Xx-holding,7,GTX Plus Basic,
Faxquote,7,GTX Plus Pro,100.0
Singletechno,7,GTXPro,
Xx-holding,7,GTXPro,
Genco Pura Olive Oil Company,8,GTX Plus Basic,
Cheers,9,GTX Basic,
unknow,11,GTX Plus Basic,
Finjob,11,GTX Plus Basic,
Ron-tech,14,MG Advanced,
Inity,14,MG Advanced,
unknow,17,GTX Plus Pro,0.0
unknow,19,MG Special,
unknow,19,MG Advanced,
Fasehatice,19,GTXPro,
unknow,20,MG Special,
unknow,20,MG Special,
Goodsilron,22,GTXPro,
Rantouch,22,MG Advanced,
Sonron,22,GTX Plus Pro,
Scottech,0,MG Special,
unknow,1,GTX Basic,
Gekko & Co,1,GTX Plus Basic,100.0
Genco Pura Olive Oil Company,23,GTX Basic,
Konmatfix,23,MG Special,
unknow,24,GTX Basic,
Acme Corporation,25,GTX Plus Basic,
Lexiqvolax,28,GTK 500,
Massive Dynamic,29,GTX Basic,
unknow,3,MG Advanced,
Doncon,4,GTX Basic,
Golddex,6,GTX Basic,
Streethex,8,MG Advanced,
Cheers,11,GTX Plus Basic,
Cancity,14,GTX Basic,
Opentech,15,MG Special,
Opentech,15,MG Special,
J-Texon,16,MG Special,0.0
Goodsilron,16,GTX Basic,
Betasoloin,17,GTXPro,
Opentech,17,GTX Plus Pro,100.0
Hottechi,18,MG Special,
Scottech,18,MG Special,
Gekko & Co,20,MG Special,
Hottechi,22,GTX Basic,47.0
Silis,1,MG Special,
Acme Corporation,12,GTX Plus Basic,
Plussunin,12,GTXPro,99.0
Donquadtech,12,MG Special,
Plussunin,24,GTX Plus Pro,
Ontomedia,25,GTX Basic,0.0
Gogozoom,26,GTXPro,
Rundofase,26,GTX Basic,
Zathunicon,27,GTX Plus Basic,1.0
Plexzap,28,GTK 500,91.0
Genco Pura Olive Oil Company,2,GTX Plus Basic,
Newex,4,GTXPro,
Fasehatice,4,GTX Plus Pro,
Toughzap,5,GTX Basic,
Conecom,5,GTX Basic,
Streethex,5,GTX Basic,100.0
Conecom,5,GTX Plus Basic,
Domzoom,5,GTX Plus Pro,
Gogozoom,5,MG Special,
unknow,6,MG Special,
Blackzim,6,GTX Basic,
unknow,7,GTX Basic,0.0
Xx-holding,7,GTX Basic,
Xx-holding,9,MG Special,
Finhigh,10,MG Special,
Scotfind,11,GTX Basic,100.0
Lexiqvolax,11,GTX Plus Pro,99.0
Scotfind,11,GTXPro,
Inity,13,GTX Basic,1.0
Treequote,13,MG Special,
Plussunin,15,GTX Plus Basic,
Vehement Capital Partners,15,GTX Plus Pro,
Betasoloin,17,GTX Plus Basic,98.0
Genco Pura Olive Oil Company,18,GTX Plus Pro,
Faxquote,19,GTX Basic,5.0
Streethex,0,GTX Plus Basic,
unknow,12,GTX Plus Basic,
Bubba Gump,12,GTX Plus Basic,100.0
Zathunicon,25,GTX Plus Pro,
Conecom,26,GTX Plus Basic,
Stanredtax,26,GTXPro,
Stanredtax,26,GTXPro,
Finhigh,26,MG Advanced,
Silis,27,GTX Basic,
Acme Corporation,27,GTXPro,
Mathtouch,29,GTX Plus Pro,
Labdrill,3,MG Advanced,
dambase,5,MG Advanced,
Ron-tech,5,MG Advanced,
Streethex,5,MG Special,
Lexiqvolax,6,GTX Basic,100.0
Newex,6,GTX Basic,100.0
Hottechi,8,GTX Basic,
Scottech,10,MG Advanced,
Streethex,13,MG Special,
Betasoloin,15,MG Advanced,
Donware,15,MG Advanced,
Betatech,17,MG Advanced,
Acme Corporation,17,MG Advanced,
Gogozoom,18,MG Special,
unknow,19,GTXPro,
Groovestreet,19,MG Special,1.0
Plexzap,19,GTXPro,
Iselectrics,21,GTX Plus Pro,
Scotfind,22,GTXPro,
Blackzim,22,GTX Basic,
Dalttechnology,22,GTXPro,
Donquadtech,1,GTX Plus Pro,1.0
Kinnamplus,12,GTXPro,
The New York Inquirer,12,GTXPro,
Streethex,26,GTX Plus Pro,100.0
Rundofase,26,GTXPro,100.0
Inity,5,GTX Basic,
Fasehatice,7,MG Advanced,
Y-corporation,7,GTX Basic,
Kan-code,7,MG Advanced,
Dalttechnology,9,GTX Basic,
unknow,11,MG Special,
Conecom,13,GTX Plus Basic,
Streethex,14,GTX Plus Pro,
Acme Corporation,15,GTX Basic,
Donware,15,GTX Basic,
Labdrill,16,MG Special,
Y-corporation,16,MG Advanced,
Zumgoity,18,GTX Plus Pro,
Singletechno,19,GTXPro,
Hottechi,19,MG Advanced,
unknow,20,GTX Basic,0.0
unknow,20,MG Special,
Kan-code,22,GTXPro,
Globex Corporation,0,MG Special,
Plussunin,1,GTXPro,
Ganjaflex,12,GTX Basic,
Umbrella Corporation,12,MG Advanced,1.0
Mathtouch,24,GTXPro,
Zotware,24,GTX Plus Pro,
Zencorporation,24,GTXPro,100.0
Bioplex,25,GTXPro,
Ganjaflex,27,GTX Plus Basic,
Betasoloin,27,GTXPro,100.0
Vehement Capital Partners,27,GTXPro,
Goodsilron,28,MG Special,
Blackzim,28,MG Advanced,
Betatech,2,GTX Basic,99.0
Inity,2,GTXPro,
unknow,4,MG Special,
Newex,4,MG Special,89.0
Konex,6,GTX Plus Basic,0.0
Golddex,6,GTX Basic,
Doncon,7,GTX Basic,
J-Texon,7,GTXPro,
Streethex,8,GTX Plus Pro,
Bioholding,8,GTX Basic,
Warephase,8,MG Special,
unknow,9,MG Advanced,0.0
Labdrill,9,MG Special,3.0
Funholding,13,MG Special,
Genco Pura Olive Oil Company,14,GTX Basic,
Rundofase,14,GTXPro,
Ontomedia,15,MG Advanced,
unknow,16,MG Special,
Blackzim,16,MG Special,99.0
Initech,17,MG Advanced,
Zumgoity,18,MG Special,
Dontechi,18,MG Advanced,
Plexzap,19,GTXPro,
Newex,19,MG Special,
Xx-zobam,20,GTX Plus Pro,
Opentech,21,GTXPro,
Xx-holding,22,GTX Plus Pro,1.0
Ron-tech,0,MG Special,
unknow,24,MG Advanced,
Plussunin,24,GTXPro,
Isdom,26,GTXPro,
Konmatfix,26,GTX Plus Basic,
Domzoom,26,GTX Plus Pro,
Scottech,26,GTXPro,
Zotware,29,GTX Basic,
Dontechi,2,GTXPro,0.0
unknow,3,MG Advanced,
Scotfind,4,MG Advanced,
Globex Corporation,5,GTX Basic,100.0
unknow,6,GTX Plus Basic,
Nam-zim,7,GTX Basic,
J-Texon,9,GTX Plus Basic,
Kan-code,11,GTX Basic,
Vehement Capital Partners,15,GTXPro,
unknow,19,MG Special,0.0
unknow,19,MG Special,
Green-Plus,19,GTX Basic,0.0
Bioplex,20,MG Advanced,
Finjob,22,GTX Basic,
Green-Plus,22,GTX Plus Pro,
unknow,1,GTX Plus Basic,
Zencorporation,1,GTX Basic,
unknow,12,GTXPro,
Donquadtech,12,MG Advanced,
Bluth Company,24,GTX Basic,
The New York Inquirer,25,MG Special,
Finhigh,26,GTX Plus Basic,
Gogozoom,26,GTXPro,
unknow,3,GTX Plus Basic,
Faxquote,4,GTX Basic,
Sunnamplex,7,GTXPro,
Hottechi,8,GTX Basic,
Konmatfix,10,MG Advanced,
unknow,11,GTXPro,
Y-corporation,11,GTX Plus Basic,
Treequote,14,GTX Plus Pro,
Massive Dynamic,15,GTX Basic,
Globex Corporation,18,MG Advanced,
Groovestreet,19,GTXPro,98.0
unknow,20,GTX Plus Basic,
unknow,21,GTX Basic,
Labdrill,22,GTX Basic,0.0
Rantouch,22,GTX Basic,
Cancity,0,GTX Plus Basic,0.0
Warephase,0,GTX Plus Pro,1.0
Hottechi,0,GTX Plus Basic,100.0
Umbrella Corporation,1,GTX Basic,
Donware,1,GTX Plus Basic,
Massive Dynamic,12,GTXPro,
unknow,24,GTX Plus Pro,
Donware,24,MG Special,2.0
unknow,25,MG Advanced,
Globex Corporation,26,GTX Plus Basic,
Rundofase,26,GTX Plus Basic,
Faxquote,28,MG Special,
Hottechi,4,GTX Basic,
Golddex,4,MG Special,
Nam-zim,6,GTX Plus Basic,
Y-corporation,6,GTXPro,
Labdrill,7,GTXPro,
Stanredtax,8,GTX Basic,95.0
